,0
1606,381230
1607,381300
1608,381400
1609,381511
1610,381512
1611,381519
1612,381590
1613,381600
1614,381710
1615,381720
1616,381800
1617,381900
1618,382000
1619,382100
1620,382200
1621,382310
1622,382320
1623,382330
1624,382340
1625,382350
1626,382360
1627,382390
1628,390110
1629,390120
1630,390130
1631,390190
1632,390210
1633,390220
1634,390230
1635,390290
1636,390311
1637,390319
1638,390320
1639,390330
1640,390390
1641,390410
1642,390421
1643,390422
1644,390430
1645,390440
1646,390450
1647,390461
1648,390469
1649,390490
1650,390511
1651,390519
1652,390520
1653,390590
1654,390610
1655,390690
1656,390710
1657,390720
1658,390730
1659,390740
1660,390750
1661,390760
1662,390791
1663,390799
1664,390810
1665,390890
1666,390910
1667,390920
1668,390930
1669,390940
1670,390950
1671,391000
1672,391110
1673,391190
1674,391211
1675,391212
1676,391220
1677,391231
1678,391239
1679,391290
1680,391310
1681,391390
1682,391400
1683,391510
1684,391520
1685,391530
1686,391590
1687,391610
1688,391620
1689,391690
1690,391710
1691,391721
1692,391722
1693,391723
1694,391729
1695,391731
1696,391732
1697,391733
1698,391739
1699,391740
1700,391810
1701,391890
1702,391910
1703,391990
1704,392010
1705,392020
1706,392030
1707,392041
1708,392042
1709,392051
1710,392059
1711,392061
1712,392062
1713,392063
1714,392069
1715,392071
1716,392072
1717,392073
1718,392079
1719,392091
1720,392092
1721,392093
1722,392094
1723,392099
1724,392111
1725,392112
1726,392113
1727,392114
1728,392119
1729,392190
1730,392210
1731,392220
1732,392290
1733,392310
1734,392321
1735,392329
1736,392330
1737,392340
1738,392350
1739,392390
1740,392410
1741,392490
1742,392510
1743,392520
1744,392530
1745,392590
1746,392610
1747,392620
1748,392630
1749,392640
1750,392690
1751,400110
1752,400121
1753,400122
1754,400129
1755,400130
1756,400211
1757,400219
1758,400220
1759,400231
1760,400239
1761,400241
1762,400249
1763,400251
1764,400259
1765,400260
1766,400270
1767,400280
1768,400291
1769,400299
1770,400300
1771,400400
1772,400510
1773,400520
1774,400591
1775,400599
1776,400610
1777,400690
1778,400700
1779,400811
1780,400819
1781,400821
1782,400829
1783,400910
1784,400920
1785,400930
1786,400940
1787,400950
1788,401010
1789,401091
1790,401099
1791,401110
1792,401120
1793,401130
1794,401140
1795,401150
1796,401191
1797,401199
1798,401210
1799,401220
1800,401290
1801,401310
1802,401320
1803,401390
1804,401410
1805,401490
1806,401511
1807,401519
1808,401590
1809,401610
1810,401691
1811,401692
1812,401693
1813,401694
1814,401695
1815,401699
1816,401700
1817,410110
1818,410121
1819,410122
1820,410129
1821,410130
1822,410140
1823,410210
1824,410221
1825,410229
1826,410310
1827,410320
1828,410390
1829,410410
1830,410421
1831,410422
1832,410429
1833,410431
1834,410439
1835,410511
1836,410512
1837,410519
1838,410520
1839,410611
1840,410612
1841,410619
1842,410620
1843,410710
1844,410721
1845,410729
1846,410790
1847,410800
1848,410900
1849,411000
1850,411100
1851,420100
1852,420211
1853,420212
1854,420219
1855,420221
1856,420222
1857,420229
1858,420231
1859,420232
1860,420239
1861,420291
1862,420292
1863,420299
1864,420310
1865,420321
1866,420329
1867,420330
1868,420340
1869,420400
1870,420500
1871,420610
1872,420690
1873,430110
1874,430120
1875,430130
1876,430140
1877,430150
1878,430160
1879,430170
1880,430180
1881,430190
1882,430211
1883,430212
1884,430213
1885,430219
1886,430220
